FACILITY_DESCRIPTION,ASSET_ADDR,ASSET_ZIP,ASSET_ID,BLDG_FLOOR_AREA,YEAR_BUILT,PROPERTY_TYPE,SECTOR,NUMBER_OF_BUILDINGS,ENERGY_STAR_SCORE,SITE_EUI,WEATHER_NORMALIZED_SITE_EUI,SOURCE _EUI,WEATHER_NORMALIZED_SOURCE_EUI,PERCENT_BETTER,TOTAL_GHG_EMISSIONS,ELECTRIC_USE,GAS_USE,STEAM_USE,OIL_USE
Richmond Library,2600 E. Indiana Avenue,19134,592,9672,1910,Library,Libraries,1,N/A,101.8,104.5,211.2,209.8,-10.4,87.7,141494,5016.6,N/A,N/A
Roxborough Library,6247 Ridge Avenue,19128,862,9215,1969,Library,Libraries,1,N/A,97.7,100,224.8,224.8,-4.6,87.4,157894,3618.6,N/A,N/A
Santore Library,701 Carpenter Street,19147,288,7950,1963,Library,Libraries,1,N/A,138.6,144.5,257,260.4,9,89.7,124346,6774.5,N/A,N/A
Tacony Library,6742 Torresdale Avenue,19135,353,9100,1906,Library,Libraries,1,N/A,101.7,107.1,167,170.7,-29.1,68.4,76730,6640.9,N/A,N/A
Torresdale Library,3079 Holme Avenue,19136,207,10464,1972,Library,Libraries,1,N/A,68.4,70.4,157.9,158,-33,69.7,126323,2847.6,N/A,N/A
Walnut Street West Library,3958 Walnut Street,19104,243,9697,1906,Library,Libraries,1,N/A,95.5,96.5,233.3,230.2,-1,94.6,180928,3084.0,N/A,N/A
Welsh Road Library,9233 Roosevelt Blvd,19114,554,10400,1968,Library,Libraries,1,N/A,115.9,119.9,236,237,0.2,105.8,166588,6373.6,N/A,N/A
West Oak Lane Library,2010 E Washington Lane,19138,723,9973,1957,Library,Libraries,1,N/A,94.2,95.9,227.7,226.6,-3.4,95.0,180127,3248.5,N/A,N/A
Whitman Library,200 Snyder Avenue,19148,956,6673,1977,Library,Libraries,1,N/A,171.6,178.5,314.5,319.5,33.4,92.3,125686,7165.2,N/A,N/A
Widener Library,2808-2825 W Lehigh Ave,19132,610,7500,2005,Library,Libraries,1,N/A,115.6,120.4,269.8,274.9,14.5,85.2,156133,3341.0,N/A,N/A
Wynnefield Library,5399 Overbrook Avenue,19131,517,13856,1964,Library,Libraries,1,N/A,94.2,99.2,162.9,166.1,-30.9,100.5,124177,8820.2,N/A,N/A
Wyoming Library,245 E. Wyoming Avenue,19120,1059,9263,1930,Library,Libraries,1,N/A,112.2,115.8,196.3,193.9,-16.7,80.7,101942,6918.4,N/A,N/A
19th Street Annex Library,20th Street and Wood Street,19103,322,10000,1922,Non-Refrigerated Warehouse,Maintenance Facilities and Warehouses,1,26,49.9,52.7,84.2,87.1,42.2,37.6,44516,3474.6,N/A,N/A
Bartram Transfer Station / Garage 290,5014 Grays Avenue,19143,255,160963,1959,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,181.7,181.8,195.2,195.3,94.5,2217.0,257278,N/A,N/A,28376303.5
Fairmount Park Maintenance / Garage 282 / Car Barn,4100 Montgomery Dr,19131,1023,36804,1950,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,0,N/A,174.6,183.9,244.7,254.7,143.9,453.0,325059,38786.4,N/A,1436741.5
Garage 134,Front and Hunting Park,19125,904,59962,1968,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,182.7,193.5,334.4,345.8,233.4,882.4,1199514,68598.4,N/A,N/A
Garage 159,4040 Whitaker,19124,685,20070,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,389.5,413.9,587.2,614.4,484.8,540.9,501643,61063.2,N/A,N/A
Garage 258 / Police Traffic,2625-45 MASTER STREET,19121,1719,59962,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,87.8,92.5,145.7,149.7,45.1,392.3,449630,37306.1,N/A,N/A
Garage 357 / Sanition Yard 2,3033 South 63rd Street,19148,213,20070,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,337.9,357.1,597.6,624,494.9,531.4,683357,44491.8,N/A,N/A
Garage 423,1117 Reed Street,19147,27,41176,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,152.6,163.9,211.6,222.4,110.8,408.0,296404,52736.4,N/A,N/A
Krewstown Stable,9000 Krewstown Road,19115,651,41330,1969,Other - Public Services,Maintenance Facilities and Warehouses,0,N/A,8.6,8.7,27,27.4,-78.1,45.0,104199,N/A,N/A,N/A
Northcentral Service / Garage 241,2600 Glenwood Avenue,19132,818,32682,1954,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,107,107.1,171.5,171.6,70.9,310.6,285029,N/A,N/A,2525871.9
Northwest Transfer Station and Fleet Shop 225,5201 Umbria St And Domino Lane,19128,1143,37841,1959,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,215.4,227.7,376.5,390.7,275.3,753.1,827522,N/A,N/A,5328915.5
Police Tow Squad,4290-98 Macalester St At Whitaker,19124,788,21970,1960,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,113.2,112.7,199,197.4,98.2,230.3,255986,N/A,N/A,1613500.3
Traffic Engineering Shop,4501 G ST,22031,929,22398,1960,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,154.3,157.9,275,277,174.1,286.8,355159,22431.0,N/A,N/A
Undisclosed Facility,N/A,N/A,N/A,N/A,N/A,N/A,Maintenance Facilities and Warehouses,1,50,22.2,22.2,69.6,69.6,0,148.9,344517,N/A,N/A,0.0
Afro-American Historical Cultural Museum,7th &amp; Arch Streets,19106,391,32100,1750,Museum,Museums,1,N/A,114.2,116.4,263.9,261,210.3,404.4,614285,N/A,1570110.0,N/A
Atwater Kent Museum,13-17 S 7th St,19106,979,14801,1938,Museum,Museums,1,N/A,218.6,218.6,478.5,478.5,462,349.2,482546,N/A,1589213.9,N/A
Firefighter's Hall,4th &amp; Arch Streets,19106,347,9436,1968,Museum,Museums,1,N/A,280.3,285.6,624.4,624.4,633.8,250.0,436824,11544.4,N/A,N/A
Lemon Hill Mansion,Sedgley Drive,19130,998,2855,1800,Museum,Museums,1,N/A,276.8,293,442.3,459.4,419.3,57.1,60742,5828.8,N/A,N/A
Mann Music Center,5201 Parkside Avenue,19131,1017,48557,1976,Performing Arts,Museums,1,N/A,53.6,52.9,168.4,166.2,97.8,329.8,763194,N/A,N/A,N/A
Philadelphia Museum of Art and Perelman Building,2600 Ben Franklin Parkway,19130,1933,804000,1929,Museum,Museums,2,N/A,176.8,178.5,355,357,317,14810.6,17324500,8604.4,82215264.4,N/A
Rodin Museum,2151 Ben Franklin Parkway,19130,987,6199,1929,Museum,Museums,1,N/A,290.2,301.5,598.1,604.9,602.7,159.5,255115,9282.8,N/A,N/A
"City Hall, MSB and CJC",Market Street and Broad Street,19102,N/A,2293000,1868,Office,Offices and Courts,3,N/A,80.6,82.9,186,186.9,-25.1,18143.5,32475910,690343.1,5051814.3,N/A
City Hall,Broad and Market Street,19102,287,1202000,1868,Office,,1,94,56.3,58.9,108.6,111,-51.5,5685.5,8339192,392346.5,N/A,N/A
Criminal Justice Center,13th and Filbert Street,19107,93,600000,1994,Courthouse,,1,28,123.9,127.3,314.6,318.4,26.2,7994.4,15421540,166515.4,5051814.3,N/A
Municipal Services Building,1401 J.F.K. Boulevard,19102,165,491000,1968,Office,,1,74,87.3,90.1,218.3,221.2,-25.5,4463.5,8715175,131481.2,N/A,N/A
Family Court,1801 Vine Street,19103,309,250000,1939,Courthouse,Offices and Courts,1,78,96.6,98.3,167.4,169.9,-30.4,2196.0,2077421,59572.6,11093453.8,N/A
Fire Administration Building,276 Spring Garden Street,19123,274,50601,1975,Office,Offices and Courts,1,15,137.3,134.3,371.2,361.9,51.9,805.0,1619001,N/A,N/A,1421195.8
Health Administration Building / Health Center 1,500 South Broad Street,19146,895,77688,1959,Office,Offices and Courts,1,16,146.5,147.9,384.6,381.4,49.6,1235.1,2514603,28002.7,N/A,N/A
One Parkway Building,1515 Arch St,19102,40,502000,1962,Office,Offices and Courts,1,43,138.5,141.2,342.4,344,7.6,7170.2,13870350,221770.4,N/A,N/A
Police Administration Building,750 Race Street,19106,156,126000,1956,Office,Offices and Courts,1,5,186,187.2,485.7,483.8,86.9,2724.3,4993398,0.0,6401033.9,N/A
Air Management Laboratory,1501 E. Lycoming Street,19124,1123,28700,1964,Laboratory,Other Facilities,1,N/A,75.9,77.5,173,172.1,40.6,209.9,375369,8984.7,N/A,N/A
Animal & Vector Control Facility,111 - 131 West Hunting Park Avenue,19140,861,31824,1972,Other,Other Facilities,1,N/A,123.6,128,282.6,287.2,129.7,380.0,681952,16077.9,N/A,N/A
Fire Academy,5300 Pennypack Avenue,19136,75,18911,1980,Other - Public Services,Other Facilities,1,N/A,124.7,123.1,257.6,252.8,109.2,236.2,342558,N/A,N/A,1188616.1
Gateway Shelter Supportive Housing,907 Hamilton Street,19123,446,20679,1950,Residence Hall/Dormitory,Other Facilities,1,8,163.4,166.6,295.5,296.4,73.1,274.8,360404,19151.6,N/A,235120.2
Horticulture Center and Greenhouses,1 Horticultural Drive,19131,1019,39909,1950,Other,Other Facilities,1,N/A,282.5,305.4,355.7,380.7,188.9,681.3,330468,101463.6,N/A,N/A
Juniata Older Adult Center,1251 E. Sedgley Street,19134,1882,13000,1950,Senior Care Community,Other Facilities,1,100,80,82.3,158.2,157,-68.3,89.2,135344,5777.4,N/A,N/A
Medical Examiner Office / Air Mangement / Environmental Health Labs,321 University Ave,19104,133,85000,1970,Laboratory,Other Facilities,1,N/A,133.2,131.7,390.1,383.5,217.1,1349.7,2982929,11451.9,N/A,N/A
Older Adult Center - Northeast Philadelphia,7522 Castor Avenue,19152,1092,12000,1950,Senior Care Community,Other Facilities,1,100,24.6,26.5,37.5,39.7,-87.8,20.6,19583,2282.2,N/A,N/A
Older Adult Center - South Philadelphia Building,1410 E. Passyunk Avenue,19147,964,12000,1900,Other,Other Facilities,1,N/A,109.3,112.5,229.8,229.4,229.2,118.2,193670,6507.2,N/A,N/A
Philadelphia Nursing Home,2300 Poplar St.,19130,853,347543,1950,Senior Care Community,Other Facilities,4,1,110.5,114.6,211.9,214.6,102,3211.2,4671650,224720.8,N/A,N/A
Police Academy and Campus Facilities,8405 State Road,19136,69,24593,1953,Other - Public Services,Other Facilities,5,N/A,191.2,192.9,588.1,593.5,378,577.6,1336774,N/A,N/A,140622.0
Police Forensic Science Center,843-849 North 8th Street,19123,179,40000,1923,Laboratory,Other Facilities,1,N/A,400.9,399.1,854.9,842.3,594.8,1462.0,2434200,77295.3,N/A,N/A
Stenton Shelter Supportive Housing,1300 East Tulpehocken Street,19138,832,33998,1959,Multifamily Housing,Other Facilities,1,N/A,289.6,300.6,441.4,453,N/A,686.9,654934,76102.8,N/A,N/A
Undisclosed Facility,N/A,N/A,N/A,N/A,N/A,N/A,Other Facilities,1,N/A,84.6,85.8,219.9,222.9,N/A,432.3,872800,10393.1,N/A,N/A
12th Police District / Engine 40,6458 Woodland Avenue,19142,246,29735,1955,Police Station,Police Stations,2,N/A,85,88.3,155.2,156.8,26.1,203.2,274748,15913.4,N/A,N/A
14th Police District,43 W. Haines Street,19144,743,12035,1950,Police Station,Police Stations,1,N/A,73.5,76.2,145.7,147.4,18.4,76.0,115730,4893.3,N/A,N/A
16th Police District,400 N. 39th Street,19104,439,15814,1950,Police Station,Police Stations,1,N/A,104.4,108.4,206.4,208.6,67.6,141.5,214450,9200.6,N/A,N/A
17th Police District / Engine 24,1200 S. 20th Street,19146,104,13238,1955,Police Station,Police Stations,1,N/A,124.9,130.5,250.6,256.5,103.4,143.4,221819,8964.2,N/A,N/A
18th Police District,5500 Pine Street,19143,216,24532,1982,Police Station,Police Stations,1,N/A,140.3,145.4,308,313.3,150.1,321.4,552891,15553.6,N/A,N/A
19th Police District / Engine 41,1201 N. 61st Street,19151,116,25207,1954,Police Station,Police Stations,1,N/A,76,78.8,163.1,166.1,32.4,175.6,294573,9097.8,N/A,N/A
1st Police District / Engine 60,2315 S. 24th Street,19145,531,33300,2000,Police Station,Police Stations,1,N/A,145.2,147.2,342.6,340.5,178.2,479.5,888291,18031.1,N/A,N/A
22nd Police District,1755 N. 17th Street,19121,1150,28600,1959,Police Station,Police Stations,1,N/A,80.6,83,163.7,163.9,33,201.9,316773,12253.8,N/A,N/A
24th & 25th Police District,3901 Whitaker Avenue,19140,1157,48000,2002,Police Station,Police Stations,1,N/A,156.3,161.1,343.6,348.7,179.1,701.3,1207891,33810.9,N/A,N/A
26th Police District,1219 Montgomery Avenue,19122,596,10400,1950,Police Station,Police Stations,1,N/A,88,90.7,179.7,180,45.9,80.6,127431,4800.8,N/A,N/A
2nd & 15th Police District,2807 Levick Street,19149,468,18162,1955,Police Station,Police Stations,1,N/A,124.9,128,289.2,289.5,134.8,221.5,402670,8943.6,N/A,N/A
35th Police District / Engine 51,5931 York Road,19141,709,29606,1968,Police Station,Police Stations,1,N/A,130,132.2,288.5,286.4,134.2,362.6,631000,16962.0,N/A,N/A
39th Police District / Engine 59,2201 W. Hunting Park Avenue,19140,812,32703,1920,Police Station,Police Stations,1,N/A,73.6,74.4,170.8,169.5,38.6,235.4,429039,9426.8,N/A,N/A
3rd Police District,1100 Wharton Street,19147,23,16611,1959,Police Station,Police Stations,1,N/A,77,83.3,87.6,94.1,-28.8,71.9,15671,12264.0,N/A,N/A
